Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
24722,9/4/10 1:31 PM,Saturday,Pedestrian,Bicycle,581,Massachusetts Ave,,"581 Massachusetts Ave Cambridge, MA",42.365007,-71.102735,"(42.365007, -71.102735)"
24732,9/8/10 5:10 PM,Wednesday,Auto,Bicycle,,Massachusetts Ave,Sidney St," Massachusetts Ave & Sidney St Cambridge, MA",42.36295,-71.09958,"(42.36295, -71.09958)"
24733,9/8/10 6:11 PM,Wednesday,Auto,Bicycle,,Cambridge St,QUINCY ST," Cambridge St & QUINCY ST Cambridge, MA",42.375474,-71.114321,"(42.375474, -71.114321)"
24747,9/12/10 3:18 PM,Sunday,Auto,Bicycle,,Massachusetts Ave,SMART ST," Massachusetts Ave & SMART ST Cambridge, MA",42.361114,-71.09657,"(42.361114, -71.09657)"
24754,9/13/10 5:49 PM,Monday,Bus (Other),Bicycle,,Broadway,PRESCOTT ST," Broadway & PRESCOTT ST Cambridge, MA",42.374368,-71.113638,"(42.374368, -71.113638)"
24762,9/14/10 3:59 PM,Tuesday,Auto,Bicycle,,SOMERVILLE AVE,Massachusetts Ave," SOMERVILLE AVE & Massachusetts Ave Cambridge, MA",42.388965,-71.119695,"(42.388965, -71.119695)"
24768,9/15/10 11:39 AM,Wednesday,Auto,Bicycle,738,Massachusetts Ave,,"738 Massachusetts Ave Cambridge, MA",42.366063,-71.105159,"(42.366063, -71.105159)"
24770,9/16/10 6:30 PM,Thursday,Bicycle,Bicycle,120,Hampshire St,,"120 Hampshire St Cambridge, MA",42.370024,-71.096542,"(42.370024, -71.096542)"
24774,9/16/10 9:20 AM,Thursday,Auto,Bicycle,,Hampshire St,," Hampshire St &  Cambridge, MA",,,
24780,9/16/10 3:30 PM,Thursday,Auto,Bicycle,,Massachusetts Ave,ROSELAND ST," Massachusetts Ave & ROSELAND ST Cambridge, MA",42.386821,-71.119182,"(42.386821, -71.119182)"
24789,9/17/10 5:45 PM,Friday,Auto,Bicycle,,Massachusetts Ave,LINNAEAN ST," Massachusetts Ave & LINNAEAN ST Cambridge, MA",42.384872,-71.119394,"(42.384872, -71.119394)"
24790,9/17/10 5:46 PM,Friday,Auto,Bicycle,,Massachusetts Ave,EVERETT ST," Massachusetts Ave & EVERETT ST Cambridge, MA",42.380006,-71.119917,"(42.380006, -71.119917)"
24794,9/20/10 8:04 AM,Monday,Auto,Bicycle,459,Broadway,,"459 Broadway Cambridge, MA",42.374336,-71.111559,"(42.374336, -71.111559)"
24795,9/20/10 1:50 PM,Monday,Auto,Bicycle,,Broadway,Ware St," Broadway & Ware St Cambridge, MA",42.373833,-71.112444,"(42.373833, -71.112444)"
24800,9/21/10 4:25 PM,Tuesday,Auto,Bicycle,,Massachusetts Ave,Albany St," Massachusetts Ave & Albany St Cambridge, MA",42.360828,-71.096012,"(42.360828, -71.096012)"
24808,9/23/10 9:30 AM,Thursday,Auto,Bicycle,,QUINCY ST,Cambridge St," QUINCY ST & Cambridge St Cambridge, MA",42.375474,-71.114321,"(42.375474, -71.114321)"
24809,9/23/10 9:31 AM,Thursday,Auto,Bicycle,,JFK St,ELIOT ST," JFK St & ELIOT ST Cambridge, MA",42.371416,-71.121105,"(42.371416, -71.121105)"
24812,9/23/10 6:00 PM,Thursday,Auto,Bicycle,,PROSPECT ST,Hampshire St," PROSPECT ST & Hampshire St Cambridge, MA",42.372202,-71.098975,"(42.372202, -71.098975)"
24817,9/24/10 9:00 AM,Friday,Auto,Bicycle,,Hampshire St,Webster Ave," Hampshire St & Webster Ave Cambridge, MA",42.366778,-71.092369,"(42.366778, -71.092369)"
24820,9/24/10 1:44 PM,Friday,Auto,Bicycle,,MOUNT AUBURN ST,Dewolfe St," MOUNT AUBURN ST & Dewolfe St Cambridge, MA",42.371077,-71.116118,"(42.371077, -71.116118)"
